Division,PR,CollegePR
3,299,283.26
3,299.01,258.09
3,299.05,243.79
3,299.05,270.64
2,299.06,266.7
1,299.08,238.04
2,299.13,273.99
2,299.14,269.66
2,299.24,261.02
1,299.32,236.51
3,299.42,266.39
3,299.43,261.78
3,299.46,291.24
3,299.54,272.86
3,299.55,275.68
3,299.74,253.99
2,299.84,254.79
2,299.86,293.41
2,299.99,287.51
3,300,263.9
3,300,274.86
3,300.13,271.88
1,300.18,271.96
3,300.21,281.09
3,300.24,249.76
2,300.3,275.4
3,300.4,287.87
3,300.47,270.36
3,300.51,295.9
3,300.55,267.54
3,300.79,271.51
1,300.98,282.1
3,300.98,259.07
3,301.01,256.51
3,301.03,275.61
2,301.21,270.85
3,301.25,291.01
3,301.34,264.31
2,301.64,280.16
2,301.66,268.27
3,301.68,259.19
3,301.84,255.16
1,301.93,261.7
3,301.97,242.39
2,302.07,250.19
3,302.09,266.61
3,302.39,262.41
1,302.61,263.91
2,302.68,272.65
2,302.72,245.49
3,303.07,286.56
3,303.09,285.35
2,303.54,276.1
1,303.7,252.15
3,303.95,262.73
2,303.97,261.05
3,303.99,268.28
3,304.05,298.54
3,304.09,261.69
2,304.11,269.07
3,304.26,275.76
2,304.3,259.76
3,304.41,263.56
2,304.51,269.21
3,304.65,272.73
2,304.75,259.06
3,305.15,276.18
3,305.46,289.23
2,305.6,263.31
2,305.96,270.03
1,305.96,231.36
3,306,265.71
3,306.27,269.26
1,306.29,251.52
3,306.62,260.64
1,307,253.51
1,307.11,238.82
3,307.16,279.58
3,307.3,270.7
2,307.45,254.22
3,307.47,271.12
2,307.71,266.7
1,307.85,233.09
2,308.02,260.67
2,308.32,250.9
2,308.32,274.26
3,308.33,253.32
3,308.4,273.8
3,308.42,275.99
1,308.63,281.82
3,308.68,271.47
3,308.7,245.94
3,308.7,270.52
3,308.93,271.41
2,308.98,275.13
3,309,270.93
3,309.3,300
3,309.55,277.62
3,309.99,284.86
3,310.11,267.13
1,310.11,238.95
3,310.26,282.72
3,310.37,292.04
3,310.51,287.8
3,310.55,267.41
3,310.67,302.08
3,310.73,284.02
3,310.84,273.57
2,311.06,259.38
2,311.2,263.06
3,311.45,260.95
3,311.63,271.48
2,311.67,256.23
1,312.1,237.79
3,312.25,271.62
3,312.4,265.72
3,312.62,298.75
1,313,239.67
3,313.17,279.51
3,313.57,267.55
3,314.03,276.16
2,314.13,284.8
2,314.14,279.66
2,317.79,279.66
2,314.17,251.97
3,314.17,287.9
3,314.23,278.92
3,314.37,260.85
3,314.52,280.03
3,314.65,251.23
1,315,228.23
3,315.24,269.09
2,315.4,263.91
3,315.97,264.66
3,316.22,291.26
3,316.27,274.73
3,316.27,287.72
3,316.31,278.49
2,316.5,262.17
3,316.52,261.5
2,316.52,260.7
3,316.84,278.49
3,316.92,271.28
3,317.07,262.28
1,317.14,267.91
1,317.27,242.91
3,317.35,255.22
2,317.7,298.71
2,318.02,293.06
2,318.49,264.86
2,318.52,265.99
2,319,245.31
1,319.01,231.24
3,319.39,289.2
3,319.43,263.6
3,319.43,266.79
2,319.48,265.29
1,319.61,283.59
